id,order_id,item_id,item_name,qty
1,1051,120,Salt & Vinegar Chips,2
2,1715,111,BBQ Chicken,3
3,1628,120,Salt & Vinegar Chips,3
4,1604,106,Philly Cheesesteak,3
5,1275,126,Iced Tea,3
6,1603,126,Iced Tea,3
7,1088,107,S'mores,2
8,861,104,Chicken Burrito,2
9,1226,103,Beef Burrito,3
10,1407,123,Coke,2
11,997,122,Cole Slaw,3
12,1328,105,Chicken Fajita,2
13,790,123,Coke,1
14,1494,117,Reese's,3
15,1410,121,BBQ Chips,3
16,1474,113,Morning Bacon,2
17,1681,114,Morning Sausage,1
18,1099,123,Coke,1
19,968,110,BBQ Pork,1
20,1204,116,Vermonter,2
21,1723,124,Sprite,3
22,1052,110,BBQ Pork,1
23,1003,126,Iced Tea,3
24,965,119,French Fries,3
25,1308,122,Cole Slaw,1
26,803,125,Lemonade,2
27,1172,112,BBQ Tofu,3
28,994,101,The GOAT,1
29,1261,107,S'mores,1
30,977,121,BBQ Chips,3
31,919,113,Morning Bacon,3
32,1070,121,BBQ Chips,2
33,1543,116,Vermonter,3
34,984,123,Coke,1
35,1328,101,The GOAT,1
36,1412,113,Morning Bacon,1
37,1478,114,Morning Sausage,2
38,1420,102,PB & J,3
39,1205,103,Beef Burrito,2
40,1595,118,Cherry Pie,2
41,1435,109,Octoberfest,1
42,1291,120,Salt & Vinegar Chips,3
43,1426,101,The GOAT,1
44,1623,123,Coke,2
45,1186,121,BBQ Chips,3
46,1268,112,BBQ Tofu,2
47,901,119,French Fries,1
48,1520,117,Reese's,3
49,1354,101,The GOAT,1
50,1528,107,S'mores,2
51,1683,120,Salt & Vinegar Chips,2
52,1089,108,The Elvis,3
53,1655,125,Lemonade,2
54,900,113,Morning Bacon,2
55,1082,117,Reese's,2
56,1701,108,The Elvis,2
57,879,118,Cherry Pie,1
58,1328,120,Salt & Vinegar Chips,1
59,797,119,French Fries,1
60,1257,122,Cole Slaw,2
61,774,105,Chicken Fajita,2
62,922,105,Chicken Fajita,3
63,1438,113,Morning Bacon,3
64,1680,120,Salt & Vinegar Chips,1
65,1328,121,BBQ Chips,3
66,1065,122,Cole Slaw,1
67,969,108,The Elvis,2
68,1604,112,BBQ Tofu,2
69,1088,125,Lemonade,3
70,1373,101,The GOAT,3
71,888,108,The Elvis,3
72,1087,123,Coke,1
73,1470,122,Cole Slaw,1
74,1481,121,BBQ Chips,3
75,1233,122,Cole Slaw,2
76,1527,105,Chicken Fajita,2
77,1285,106,Philly Cheesesteak,3
78,911,101,The GOAT,1
79,1717,110,BBQ Pork,2
80,1133,108,The Elvis,2
81,872,109,Octoberfest,3
82,1544,110,BBQ Pork,1
83,1550,126,Iced Tea,3
84,1573,121,BBQ Chips,2
85,1562,124,Sprite,1
86,1445,106,Philly Cheesesteak,2
87,778,105,Chicken Fajita,1
88,1714,115,Chicken Quesadilla,3
89,1420,107,S'mores,2
90,1017,113,Morning Bacon,2
91,1200,122,Cole Slaw,3
92,1529,106,Philly Cheesesteak,2
93,1414,121,BBQ Chips,2
94,781,120,Salt & Vinegar Chips,1
95,1186,109,Octoberfest,1
96,1605,115,Chicken Quesadilla,3
97,1509,126,Iced Tea,2
98,1254,105,Chicken Fajita,2
99,948,123,Coke,1
100,847,122,Cole Slaw,3
101,1333,118,Cherry Pie,1
102,1697,104,Chicken Burrito,3
103,1090,102,PB & J,2
104,1251,109,Octoberfest,3
